Feat1,Feat2,Label
-0.10925,-0.23008,1
0.040637,0.21077,1
-0.035017,-0.046132,1
-0.16101,1.4267,1
-0.028545,-2.0843,1
-0.036463,-0.95171,1
0.0080725,0.36381,1
-0.021392,-0.21957,1
-0.088584,-0.72616,1
-0.12674,1.2219,1
0.0039935,-1.0737,1
0.10267,-3.1595,1
-0.072525,-1.0874,1
-0.045709,-1.0049,1
0.12444,0.058647,1
-0.087429,-0.48605,1
0.078451,0.92793,1
0.1321,-0.6594,1
0.047769,0.79055,1
0.0090397,0.097901,1
0.052873,-1.0399,1
0.10492,-0.30301,1
0.048259,0.47854,1
0.082393,-0.83099,1
-0.15884,0.27928,1
0.011845,-1.0515,1
-0.0879,0.0066763,1
0.11154,1.0678,1
0.11183,-0.82027,1
0.07629,-0.31466,1
0.17938,1.1209,1
0.11938,1.5198,1
0.079239,0.75675,1
0.0097121,0.54665,1
0.024027,1.3364,1
-0.050281,1.4271,1
-0.010783,-1.3878,1
-0.012865,0.33392,1
0.039292,-1.7318,1
-0.14273,-0.66539,1
-0.11769,-0.24307,1
-0.010629,-0.30505,1
-0.13975,0.019681,1
-0.085832,1.2272,1
-0.069826,-0.949,1
0.20043,1.2133,1
-0.13691,0.48135,1
0.016454,0.64325,1
-0.065616,-0.1964,1
0.089371,-0.49434,1
-0.068688,-0.72454,1
-0.027939,-0.65213,1
0.016778,-2.4704,1
0.020744,1.8009,1
-0.017004,-1.0569,1
0.090569,-0.27788,1
0.026897,0.086754,1
-0.0071261,-0.83371,1
-0.040607,0.60238,1
-0.0071111,-0.068975,1
0.032939,2.2556,1
0.05306,1.3181,1
-0.0028716,0.56461,1
-0.045385,0.29016,1
-0.059869,0.41132,1
0.046654,0.61201,1
-0.18291,-1.118,1
0.15745,0.78482,1
-0.10224,-1.3802,1
-0.1133,-1.3261,1
-0.095207,0.31681,1
0.1561,-0.82392,1
-0.10338,-0.93661,1
-0.0098933,-1.3205,1
-0.13997,0.8538,1
-0.042846,-1.457,1
-0.12822,-1.2036,1
0.24141,0.86841,1
0.18861,1.1291,1
0.12714,1.3214,1
-0.13096,-0.20272,1
-0.025658,-0.6618,1
0.041717,-0.94411,1
-0.02566,-1.2474,1
0.019649,-1.0666,1
-0.10169,0.74579,1
-0.26631,0.2512,1
0.25416,-0.27557,1
0.013097,1.3693,1
0.19839,-0.26153,1
0.066347,-0.18369,1
-0.13257,-0.6113,1
-0.022416,-0.85891,1
-0.0014787,-1.2276,1
0.039688,-0.74791,1
0.027002,0.40959,1
0.056787,0.32625,1
0.14343,0.8881,1
0.30693,0.96307,1
-0.022134,0.49481,1
